School,Stadium Size
Air Force,46692
Akron,30000
Alabama,100077
Alabama at Birmingham,71594
Appalachian State,30000
Arizona,50782
Arizona State,53599
Arkansas,76212
Arkansas State,30406
Army,38000
Auburn,87451
Ball State,22500
Baylor,45140
Boise State,14500
Boston College,44500
Bowling Green,24000
Brigham Young,63470
Buffalo,25000
California,62467
Central Florida,65000
Central Michigan,30255
Charlotte,15314
Cincinnati,40000
Clemson,81500
Coastal Carolina,21000
Colorado,50183
Colorado State,34400
Connecticut,40000
Duke,40004
East Carolina,50000
Eastern Michigan,30200
Florida,88548
Florida Atlantic,30000
Florida International,23500
Florida State,82300
Fresno State,41031
Georgia,92746
Georgia Southern,24300
Georgia State,28155
Georgia Tech,55000
Hawaii,50000
Houston,40000
Illinois,60670
Indiana,52959
Iowa,70585
Iowa State,61500
Kansas,50250
Kansas State,50000
Kent State,25319
Kentucky,61000
Liberty,25000
Louisiana Tech,30600
Louisiana-Lafayette,31000
Louisiana-Monroe,30427
Louisville,55000
LSU,100500
Marshall,38019
Maryland,54000
Massachusetts,44500
Memphis,62380
Miami (Fla.),65236
Miami (Ohio),24286
Michigan,107601
Michigan State,75005
Middle Tennessee,31000
Minnesota,50805
Mississippi,58580
Mississippi State,64038
Missouri,71004
Navy,34000
Nebraska,92000
Nevada,29993
Nevada-Las Vegas,36800
New Mexico,39224
New Mexico State,30343
North Carolina,62980
North Carolina State,56919
North Texas,30850
Northern Illinois,24000
Northwestern,47130
Notre Dame,80795
Ohio,24000
Ohio State,102329
Oklahoma,86112
Oklahoma State,55509
Old Dominion,20118
Oregon,5400
Oregon State,26407
Penn State,106572
Pittsburgh,65500
Purdue,62500
Rice,47000
Rutgers,52454
San Diego State,70561
San Jose State,30456
South Alabama,40646
South Carolina,80250
South Florida,65857
Southern California,93607
Southern Methodist,32000
Southern Mississippi,36000
Stanford,50424
Syracuse,49250
Tennessee,102521
Texas,100119
Texas A&M,106511
Texas Christian,47000
Texas State,30000
Texas Tech,60454
Texas-El Paso,51500
Texas-San Antonio,64000
Toledo,26248
Troy,30000
Tulane,30000
Tulsa,35542
UCLA,92542
Utah,51444
Utah State,25513
Vanderbilt,40550
Virginia,61500
Virginia Tech,66233
Wake Forest,31500
Washington,70083
Washington State,32952
West Virginia,60000
Western Kentucky,22113
Western Michigan,30200
Wisconsin,80321
Wyoming,29181