Date,SF GDP,Boston GDP,LA GDP,NY GDP
1/1/01,240223.331,234693.57,518030.432,992854.3
1/1/02,238126.362,237735.492,536607.733,1007577.9
1/1/03,246289.538,245407.958,567065.251,1023170.7
1/1/04,256414.07,259116.344,600418.066,1040547.3
1/1/05,278166.393,272211.311,634786.051,1065797
1/1/06,296377.341,287146.989,677313.077,1069826.2
1/1/07,307604.98,303949.312,701510.899,1071071.5
1/1/08,324695.029,311634.603,718064.396,1093923.6
1/1/09,309329.272,312593.395,694677.52,1139735.6
1/1/10,316779.481,330424.307,721432.807,1111408.9
1/1/11,329715.792,341801.133,742349.632,1114888.4
1/1/12,363995.871,357088.355,770616.431,1111493.1
1/1/13,382609.214,366244.863,799688.139,1125434.2
1/1/14,412207.012,379924.795,833317.955,1113503.8
1/1/15,443406.281,403931.138,882307.124,1122835.5
1/1/16,472395.545,418289.875,910277.065,1104590.7
1/1/17,519358.95,434282.612,957632.371,1115297.2
1/1/18,562046.311,462229.528,1006224.798,1159539.7
1/1/19,595294.62,488174.288,1055570.39,1172972.6
1/1/20,588335.543,480307.073,1007037.066,1192515.7